City,Restaurant_Count,Latitude,Longitude,Aggregate rating
Makati City,2,14.559575500000001,121.02081799999999,4.65
Balingup,1,-33.7845269,115.9844924,3.2
Armidale,1,-30.5147169,151.6688792,3.5
Cochrane,1,51.183934,-114.472474,3.1
Beechworth,1,-36.360439,146.685852,4.6
Huskisson,1,-35.0388698,150.6710743,4.1
Inverloch,1,-38.6347458,145.7287133,3.7
Forrest,1,-38.517292,143.714315,3.7
Clatskanie,1,46.126967,-123.368151,4.3
Chatham-Kent,1,42.397683,-82.188438,3.7
Bandung,1,-6.887057501,107.6127895,4.2
Consort,1,52.0082889,-110.7746994,3.0
Dicky Beach,1,-26.783576,153.137401,3.6
East Ballina,1,-28.862663,153.593331,4.1
Fernley,1,39.607515,-119.252694,3.7
Macedon,1,-37.423189,144.564174,3.5
Lakeview,1,42.1885,-120.3458,3.6
Lincoln,1,40.8143,-96.7072,4.5
Lorn,1,-32.728097,151.558475,3.6
Lakes Entrance,1,-37.8783865,147.9942247,3.8
Flaxton,1,-26.6521332,152.8771473,3.5
Penola,1,-37.379153,140.837409,3.4
Mayfield,1,-32.899178,151.7343832,2.9
Montville,1,-26.690462,152.893735,2.4
Monroe,1,42.606306,-89.653487,3.6
Mohali,1,30.6955506,76.7187888,4.3
Miller,1,44.5158,-98.9891,3.4
Mc Millan,1,46.3718,-85.7363,2.4
Middleton Beach,1,-35.025861,117.917166,3.8
Ojo Caliente,1,36.313638,-106.057666,3.6
Palm Cove,1,-16.748083,145.670768,4.4
Quezon City,1,14.649503,121.075419,4.8
Princeton,1,40.352385,-74.651139,4.0
Potrero,1,32.613431,-116.704731,3.3
Phillip Island,1,-38.448307,145.237813,3.7
Panchkula,1,30.6978586,76.849258,4.2
Paynesville,1,-37.9194154,147.7227832,2.6
Tagaytay City,1,14.101834,120.951589,4.5
Randburg,1,-26.14026,27.991791,4.3
Victor Harbor,1,-35.5536609,138.624316,3.6
Vernonia,1,45.858667,-123.1954368,4.3
Tanunda,1,-34.519619,138.966064,4.4
Trentham East,1,-37.396942,144.41272,4.1
Weirton,1,40.396043,-80.529488,3.9
Vineland Station,1,43.1868697,-79.3791465,4.3
Winchester Bay,1,43.678998,-124.175346,3.2
Yorkton,1,51.2106824,-102.4613173,3.3
